arm,step,train_loss
pool,195,3.08588
pool,196,3.18863
pool,197,3.24024
pool,198,3.02017
pool,199,2.89217
pool,200,3.45044
pool,201,2.47202
pool,202,3.08178
pool,203,3.02645
pool,204,2.72655
pool,205,2.99172
pool,206,3.00849
pool,207,3.12843
pool,208,2.79874
pool,209,2.86539
pool,210,3.18717
pool,211,3.12609
pool,212,2.86694
pool,213,2.88101
pool,214,3.46893
pool,215,3.20647
pool,216,2.88413
pool,217,2.96094
pool,218,3.00748
pool,219,3.09675
pool,220,3.20421
pool,221,3.27625
pool,222,3.37580
pool,223,3.53309
pool,224,3.36948
pool,225,3.49367
pool,226,3.38656
pool,227,3.23087
pool,228,2.77770
pool,229,2.85356
pool,230,2.50665
pool,231,2.70503
pool,232,3.27122
pool,233,2.90032
pool,234,3.40442
pool,235,3.53393
pool,236,3.21063
pool,237,2.71348
pool,238,3.05229
pool,239,2.98990
pool,240,3.28109
pool,241,3.05736
pool,242,2.70007
pool,243,2.91572
pool,244,2.86882
pool,245,3.12196
pool,246,3.41330
pool,247,3.31044
pool,248,3.63780
pool,249,3.29713
qformer,0,4.39238
qformer,1,4.13386
qformer,2,3.99440
qformer,3,3.98810
qformer,4,4.34368
qformer,5,3.80946
qformer,6,3.90953
qformer,7,3.22416
qformer,8,3.44354
qformer,9,3.75676
qformer,10,3.53615
qformer,11,3.45309
qformer,12,3.85161
qformer,13,3.30934
qformer,14,3.67389
qformer,15,3.72901
qformer,16,4.13938
qformer,17,4.22469
qformer,18,3.44828
qformer,19,3.91833
qformer,20,3.73595
qformer,21,3.55449
qformer,22,3.43207
qformer,23,3.54055
qformer,24,3.56492
qformer,25,4.11674
qformer,26,3.48611
qformer,27,3.16704
qformer,28,3.26852
qformer,29,3.31004
qformer,30,3.38953
qformer,31,3.09736
qformer,32,3.16919
qformer,33,3.35154
qformer,34,3.62350
qformer,35,3.48015
qformer,36,3.72270
qformer,37,3.41459
qformer,38,3.00030
qformer,39,3.46627
qformer,40,3.37446
qformer,41,3.23817
qformer,42,3.84541
qformer,43,3.82819
qformer,44,3.42941
qformer,45,3.70133
qformer,46,3.51081
qformer,47,2.81692
qformer,48,3.43409
qformer,49,2.96417
qformer,50,2.77129
qformer,51,3.40391
qformer,52,3.29983
qformer,53,3.12609
qformer,54,3.53357
qformer,55,3.61403
qformer,56,3.14700
qformer,57,3.15047
qformer,58,3.37357
qformer,59,3.49892
qformer,60,3.39768
qformer,61,3.63873
qformer,62,3.72145
qformer,63,3.17628
qformer,64,3.81011
qformer,65,3.26209
qformer,66,3.64495
qformer,67,3.48692
qformer,68,2.70085
qformer,69,3.00531
qformer,70,3.39284
qformer,71,3.04693
qformer,72,3.82319
qformer,73,3.48118
qformer,74,2.99282
qformer,75,3.26556
qformer,76,3.57790
qformer,77,3.44482
qformer,78,4.11353
qformer,79,3.77416
qformer,80,3.18994
qformer,81,3.15240
qformer,82,3.27198
qformer,83,3.33889
qformer,84,3.79705
qformer,85,3.14147
qformer,86,3.31161
qformer,87,3.48847
qformer,88,4.15796
qformer,89,3.85424
qformer,90,4.15343
qformer,91,3.22551
qformer,92,3.10791
qformer,93,3.33545
qformer,94,3.76592
qformer,95,3.11812
qformer,96,3.44444
qformer,97,2.90043
qformer,98,3.69709
qformer,99,3.13667
qformer,100,3.04258
qformer,101,3.18004
qformer,102,3.19707
qformer,103,3.43278
qformer,104,3.66146
qformer,105,3.10801
qformer,106,3.68982
qformer,107,3.56909
qformer,108,3.57269
qformer,109,3.23846
qformer,110,3.19935
qformer,111,3.30259
qformer,112,3.56900
qformer,113,3.31104
qformer,114,3.27486
qformer,115,3.02291
qformer,116,3.52758
qformer,117,3.11418
qformer,118,3.51870
qformer,119,3.17786
qformer,120,3.33621
qformer,121,3.96535
qformer,122,3.19793
qformer,123,3.53382
qformer,124,3.02866
qformer,125,3.70382
qformer,126,3.52080
qformer,127,3.54427
qformer,128,3.23059
qformer,129,3.21775
qformer,130,3.31641
qformer,131,3.29681
qformer,132,3.05569
qformer,133,3.58337
qformer,134,3.45012
qformer,135,3.31439
qformer,136,3.29513
qformer,137,3.07879
qformer,138,3.60146
qformer,139,3.08675
qformer,140,3.40846
qformer,141,3.46455
qformer,142,3.28192
qformer,143,3.21829
qformer,144,2.99437
qformer,145,3.32624
qformer,146,3.38095
qformer,147,3.26155
qformer,148,4.01081
qformer,149,3.59093
qformer,150,3.22842
qformer,151,3.07464
qformer,152,3.11462
qformer,153,3.39164
qformer,154,3.42105
