experiment,where,mean_abs_e,max_abs_e,lap_time,L,w_rate,diverged,best_L,R,steady_offset,sagitta_prediction,cut_distance,omega_needed,v,min_stable_L,adaptive_L,adaptive_e,fixed_L,fixed_e,v0.5,v1.0,v1.5,v2.0,v2.5,pose_sigma,ctrl_hz,tuned_on,tracker,gain,evaluated_on,scenario,finished
6_rate,,,0.0053,,0.5,0.037,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.0114,,0.65,0.032,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.0201,,0.8,0.031,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.0357,,1.0,0.03,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.0559,,1.2,0.03,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.1112,,1.6,0.031,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,0.1926,,2.0,0.031,0,,,,,,,,,,,,,,,,,,0.0,20.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.3,,,,,,,,,,0.0,20.0,,,,,,
6_rate,,,1.5112,,0.15,1.386,1,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,1.5061,,0.2,0.754,1,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,1.5051,,0.25,0.826,1,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,1.5048,,0.3,0.571,1,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.01,,0.4,0.045,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.0066,,0.5,0.024,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.0088,,0.65,0.018,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.0166,,0.8,0.016,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.0312,,1.0,0.015,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.0505,,1.2,0.015,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.1038,,1.6,0.015,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,0.1829,,2.0,0.016,0,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.4,,,,,,,,,,0.0,10.0,,,,,,
6_rate,,,1.5127,,0.15,0.625,1,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,1.5039,,0.2,0.405,1,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,1.5108,,0.25,0.291,1,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,1.5087,,0.3,0.242,1,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,1.5051,,0.4,0.217,1,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.0241,,0.5,0.048,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.0145,,0.65,0.014,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.0108,,0.8,0.01,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.0228,,1.0,0.008,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.0398,,1.2,0.008,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.089,,1.6,0.008,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,0.1632,,2.0,0.008,0,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.0,5.0,,,,,,
6_rate,,,1.5099,,0.15,0.212,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5106,,0.2,0.187,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5038,,0.25,0.131,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5028,,0.3,0.139,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5067,,0.4,0.072,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5027,,0.5,0.087,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5028,,0.65,0.048,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5034,,0.8,0.032,1,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,0.0352,,1.0,0.006,0,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,0.0234,,1.2,0.005,0,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,0.0621,,1.6,0.004,0,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,0.1249,,2.0,0.004,0,,,,,,,,,,,,,,,,,,0.0,2.5,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,2.5,,,,,,
6_rate,,,1.5002,,0.15,49.331,1,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,1.5017,,0.2,16.773,1,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,1.5067,,0.25,22.599,1,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
